Timestamp: 1683525958, Average of speed: 2150.667, Average of pressure: 0.068
Timestamp: 1683526043, Average of speed: 2189.667, Average of pressure: 0.057
Timestamp: 1683526044, Average of speed: 2120.667, Average of pressure: 0.094
Timestamp: 1683526045, Average of speed: 2065.667, Average of pressure: 0.066
Timestamp: 1683526046, Average of speed: 2139.000, Average of pressure: 0.071
Timestamp: 1683526047, Average of speed: 2016.000, Average of pressure: 0.065
Timestamp: 1683526048, Average of speed: 2123.333, Average of pressure: 0.077
Timestamp: 1683526049, Average of speed: 1949.000, Average of pressure: 0.087
Timestamp: 1683526050, Average of speed: 2036.333, Average of pressure: 0.056
Timestamp: 1683526051, Average of speed: 2015.000, Average of pressure: 0.064
Timestamp: 1683526052, Average of speed: 2003.333, Average of pressure: 0.080
Timestamp: 1683526053, Average of speed: 2036.333, Average of pressure: 0.093
Timestamp: 1683526054, Average of speed: 2015.000, Average of pressure: 0.076
Timestamp: 1683526055, Average of speed: 2279.667, Average of pressure: 0.080
Timestamp: 1683526056, Average of speed: 2055.667, Average of pressure: 0.075
Timestamp: 1683526057, Average of speed: 2093.333, Average of pressure: 0.078
Timestamp: 1683526058, Average of speed: 2152.000, Average of pressure: 0.067
Timestamp: 1683526059, Average of speed: 2158.000, Average of pressure: 0.082
Timestamp: 1683526060, Average of speed: 2214.667, Average of pressure: 0.062
Timestamp: 1683526061, Average of speed: 2079.667, Average of pressure: 0.071
Timestamp: 1683526062, Average of speed: 2215.667, Average of pressure: 0.075
Timestamp: 1683526063, Average of speed: 2202.000, Average of pressure: 0.062
Timestamp: 1683526064, Average of speed: 2202.000, Average of pressure: 0.062
Timestamp: 1683526065, Average of speed: 2043.000, Average of pressure: 0.069
Timestamp: 1683526066, Average of speed: 2109.000, Average of pressure: 0.083
Timestamp: 1683526067, Average of speed: 2002.667, Average of pressure: 0.094
Timestamp: 1683526068, Average of speed: 2169.333, Average of pressure: 0.055
Timestamp: 1683526069, Average of speed: 2031.333, Average of pressure: 0.062
Timestamp: 1683526070, Average of speed: 2059.333, Average of pressure: 0.080
Timestamp: 1683526071, Average of speed: 2195.333, Average of pressure: 0.079
Timestamp: 1683526072, Average of speed: 1916.667, Average of pressure: 0.083
Timestamp: 1683526073, Average of speed: 2070.000, Average of pressure: 0.073
Timestamp: 1683526074, Average of speed: 2248.667, Average of pressure: 0.072
Timestamp: 1683526075, Average of speed: 2196.000, Average of pressure: 0.078
Timestamp: 1683526076, Average of speed: 2016.000, Average of pressure: 0.081
Timestamp: 1683526077, Average of speed: 2053.000, Average of pressure: 0.065
Timestamp: 1683526078, Average of speed: 2117.667, Average of pressure: 0.071
Timestamp: 1683526079, Average of speed: 2117.667, Average of pressure: 0.071
Timestamp: 1683526080, Average of speed: 2030.333, Average of pressure: 0.079
Timestamp: 1683526081, Average of speed: 2161.667, Average of pressure: 0.076
Timestamp: 1683526082, Average of speed: 2210.000, Average of pressure: 0.062
Timestamp: 1683526083, Average of speed: 2113.333, Average of pressure: 0.084
Timestamp: 1683526084, Average of speed: 2050.333, Average of pressure: 0.090
Timestamp: 1683526085, Average of speed: 1907.000, Average of pressure: 0.091
Timestamp: 1683526086, Average of speed: 2239.667, Average of pressure: 0.083
Timestamp: 1683526087, Average of speed: 2051.000, Average of pressure: 0.060
Timestamp: 1683526088, Average of speed: 1985.667, Average of pressure: 0.064
Timestamp: 1683526089, Average of speed: 2150.667, Average of pressure: 0.082
Timestamp: 1683526090, Average of speed: 2083.333, Average of pressure: 0.090
Timestamp: 1683526091, Average of speed: 2130.000, Average of pressure: 0.071
Timestamp: 1683526092, Average of speed: 2072.000, Average of pressure: 0.072
Timestamp: 1683526093, Average of speed: 1884.000, Average of pressure: 0.080
Timestamp: 1683526094, Average of speed: 2079.333, Average of pressure: 0.075
Timestamp: 1683526095, Average of speed: 2070.000, Average of pressure: 0.072
Timestamp: 1683526096, Average of speed: 2070.000, Average of pressure: 0.072
Timestamp: 1683526097, Average of speed: 2045.333, Average of pressure: 0.075
Timestamp: 1683526098, Average of speed: 2010.000, Average of pressure: 0.078
Timestamp: 1683526099, Average of speed: 2163.333, Average of pressure: 0.064
Timestamp: 1683526100, Average of speed: 2100.333, Average of pressure: 0.091
Timestamp: 1683526101, Average of speed: 2209.333, Average of pressure: 0.080
Timestamp: 1683526102, Average of speed: 2216.000, Average of pressure: 0.082
Timestamp: 1683526103, Average of speed: 2186.000, Average of pressure: 0.084
Timestamp: 1683526104, Average of speed: 1970.667, Average of pressure: 0.071
Timestamp: 1683526105, Average of speed: 2024.333, Average of pressure: 0.066
Timestamp: 1683526106, Average of speed: 2043.333, Average of pressure: 0.080
Timestamp: 1683526107, Average of speed: 2119.000, Average of pressure: 0.056
Timestamp: 1683526108, Average of speed: 2013.000, Average of pressure: 0.064
Timestamp: 1683526109, Average of speed: 2171.667, Average of pressure: 0.065
Timestamp: 1683526110, Average of speed: 2170.667, Average of pressure: 0.075
Timestamp: 1683526111, Average of speed: 2300.000, Average of pressure: 0.087
Timestamp: 1683526112, Average of speed: 1956.000, Average of pressure: 0.070
Timestamp: 1683526113, Average of speed: 2104.667, Average of pressure: 0.075
Timestamp: 1683526114, Average of speed: 2087.667, Average of pressure: 0.064
Timestamp: 1683526115, Average of speed: 1991.333, Average of pressure: 0.079
Timestamp: 1683526116, Average of speed: 1855.333, Average of pressure: 0.068
Timestamp: 1683526117, Average of speed: 2318.000, Average of pressure: 0.068
Timestamp: 1683526118, Average of speed: 2157.000, Average of pressure: 0.077
Timestamp: 1683526119, Average of speed: 2218.333, Average of pressure: 0.067
Timestamp: 1683526120, Average of speed: 1884.333, Average of pressure: 0.060
Timestamp: 1683526121, Average of speed: 2165.000, Average of pressure: 0.070
Timestamp: 1683526122, Average of speed: 2165.000, Average of pressure: 0.070
Timestamp: 1683526123, Average of speed: 1939.000, Average of pressure: 0.084
Timestamp: 1683526124, Average of speed: 2288.333, Average of pressure: 0.074
Timestamp: 1683526125, Average of speed: 2212.667, Average of pressure: 0.070
Timestamp: 1683526126, Average of speed: 1986.333, Average of pressure: 0.080
Timestamp: 1683526127, Average of speed: 2171.000, Average of pressure: 0.066
Timestamp: 1683526128, Average of speed: 2270.333, Average of pressure: 0.089
Timestamp: 1683526129, Average of speed: 2049.000, Average of pressure: 0.075
Timestamp: 1683526130, Average of speed: 1906.333, Average of pressure: 0.062
Timestamp: 1683526131, Average of speed: 2008.667, Average of pressure: 0.073
Timestamp: 1683526132, Average of speed: 2139.000, Average of pressure: 0.068
Timestamp: 1683526133, Average of speed: 2208.333, Average of pressure: 0.083
Timestamp: 1683526134, Average of speed: 2143.333, Average of pressure: 0.060
Timestamp: 1683526135, Average of speed: 2005.667, Average of pressure: 0.085
Timestamp: 1683526136, Average of speed: 2066.333, Average of pressure: 0.082
Timestamp: 1683526137, Average of speed: 2056.667, Average of pressure: 0.076
Timestamp: 1683526138, Average of speed: 1937.000, Average of pressure: 0.080
Timestamp: 1683526139, Average of speed: 2121.333, Average of pressure: 0.087
Timestamp: 1683526140, Average of speed: 1949.000, Average of pressure: 0.084
Timestamp: 1683526141, Average of speed: 2099.667, Average of pressure: 0.069
Timestamp: 1683526142, Average of speed: 2024.000, Average of pressure: 0.086
Timestamp: 1683526143, Average of speed: 2147.000, Average of pressure: 0.074
Timestamp: 1683526144, Average of speed: 2035.333, Average of pressure: 0.057
Timestamp: 1683526145, Average of speed: 2112.667, Average of pressure: 0.073
Timestamp: 1683526146, Average of speed: 2028.000, Average of pressure: 0.062
Timestamp: 1683526147, Average of speed: 2139.000, Average of pressure: 0.068
Timestamp: 1683526148, Average of speed: 2205.667, Average of pressure: 0.060
Timestamp: 1683526149, Average of speed: 2011.000, Average of pressure: 0.088
Timestamp: 1683526150, Average of speed: 2147.667, Average of pressure: 0.082
Timestamp: 1683526151, Average of speed: 2134.333, Average of pressure: 0.068
Timestamp: 1683526152, Average of speed: 1983.000, Average of pressure: 0.071
Timestamp: 1683526153, Average of speed: 2083.333, Average of pressure: 0.094
Timestamp: 1683526154, Average of speed: 2125.667, Average of pressure: 0.067
Timestamp: 1683526155, Average of speed: 2125.667, Average of pressure: 0.067
Timestamp: 1683526156, Average of speed: 2180.333, Average of pressure: 0.065
Timestamp: 1683526157, Average of speed: 2032.667, Average of pressure: 0.050
Timestamp: 1683526158, Average of speed: 2018.333, Average of pressure: 0.079
Timestamp: 1683526159, Average of speed: 2018.333, Average of pressure: 0.079
Timestamp: 1683526160, Average of speed: 2018.333, Average of pressure: 0.079
Timestamp: 1683526161, Average of speed: 2134.333, Average of pressure: 0.070
Timestamp: 1683526162, Average of speed: 2205.000, Average of pressure: 0.089
Timestamp: 1683526163, Average of speed: 2208.667, Average of pressure: 0.082
Timestamp: 1683526164, Average of speed: 2248.667, Average of pressure: 0.064
Timestamp: 1683526165, Average of speed: 2158.333, Average of pressure: 0.058
Timestamp: 1683526166, Average of speed: 1992.667, Average of pressure: 0.076
Timestamp: 1683526167, Average of speed: 2176.000, Average of pressure: 0.083
Timestamp: 1683526168, Average of speed: 2180.333, Average of pressure: 0.083
Timestamp: 1683526169, Average of speed: 2107.667, Average of pressure: 0.080
Timestamp: 1683526170, Average of speed: 2205.000, Average of pressure: 0.083
Timestamp: 1683526171, Average of speed: 2076.000, Average of pressure: 0.071
Timestamp: 1683526172, Average of speed: 2191.667, Average of pressure: 0.063
Timestamp: 1683526173, Average of speed: 2274.333, Average of pressure: 0.092
Timestamp: 1683526174, Average of speed: 2282.667, Average of pressure: 0.062
Timestamp: 1683526175, Average of speed: 2242.333, Average of pressure: 0.090
Timestamp: 1683526176, Average of speed: 2080.000, Average of pressure: 0.064
Timestamp: 1683526177, Average of speed: 1975.667, Average of pressure: 0.067
Timestamp: 1683526178, Average of speed: 2002.000, Average of pressure: 0.080
Timestamp: 1683526179, Average of speed: 1946.333, Average of pressure: 0.072
Timestamp: 1683526180, Average of speed: 2112.667, Average of pressure: 0.071
Timestamp: 1683526181, Average of speed: 2036.667, Average of pressure: 0.075
Timestamp: 1683526182, Average of speed: 2006.333, Average of pressure: 0.054
Timestamp: 1683526183, Average of speed: 2189.333, Average of pressure: 0.084
Timestamp: 1683526184, Average of speed: 2136.667, Average of pressure: 0.084
Timestamp: 1683526185, Average of speed: 2059.000, Average of pressure: 0.079
Timestamp: 1683526186, Average of speed: 2059.000, Average of pressure: 0.079
Timestamp: 1683526187, Average of speed: 2008.000, Average of pressure: 0.053
Timestamp: 1683526188, Average of speed: 2006.000, Average of pressure: 0.075
Timestamp: 1683526189, Average of speed: 1981.333, Average of pressure: 0.057
Timestamp: 1683526190, Average of speed: 2062.000, Average of pressure: 0.058
Timestamp: 1683526191, Average of speed: 2212.333, Average of pressure: 0.066
Timestamp: 1683526192, Average of speed: 2008.667, Average of pressure: 0.073
Timestamp: 1683526193, Average of speed: 2058.333, Average of pressure: 0.078
Timestamp: 1683526194, Average of speed: 2058.333, Average of pressure: 0.078
Timestamp: 1683526195, Average of speed: 1916.000, Average of pressure: 0.060
Timestamp: 1683526196, Average of speed: 2123.333, Average of pressure: 0.075
Timestamp: 1683526197, Average of speed: 1973.667, Average of pressure: 0.085
Timestamp: 1683526198, Average of speed: 2056.667, Average of pressure: 0.091
Timestamp: 1683526199, Average of speed: 2157.000, Average of pressure: 0.076
Timestamp: 1683526200, Average of speed: 2057.667, Average of pressure: 0.078
Timestamp: 1683526201, Average of speed: 2100.000, Average of pressure: 0.060
Timestamp: 1683526202, Average of speed: 2119.000, Average of pressure: 0.074
Timestamp: 1683526203, Average of speed: 2113.333, Average of pressure: 0.051
Timestamp: 1683526204, Average of speed: 2046.333, Average of pressure: 0.097
Timestamp: 1683526205, Average of speed: 2046.333, Average of pressure: 0.097
Timestamp: 1683526206, Average of speed: 2148.000, Average of pressure: 0.072
Timestamp: 1683526207, Average of speed: 2128.000, Average of pressure: 0.076
Timestamp: 1683526208, Average of speed: 2046.000, Average of pressure: 0.072
Timestamp: 1683526209, Average of speed: 2077.667, Average of pressure: 0.068
Timestamp: 1683526210, Average of speed: 2368.667, Average of pressure: 0.082
Timestamp: 1683526211, Average of speed: 1915.667, Average of pressure: 0.096
Timestamp: 1683526212, Average of speed: 2029.667, Average of pressure: 0.086
Timestamp: 1683526213, Average of speed: 2148.667, Average of pressure: 0.077
Timestamp: 1683526214, Average of speed: 2197.333, Average of pressure: 0.056
Timestamp: 1683526215, Average of speed: 1929.667, Average of pressure: 0.082
Timestamp: 1683526216, Average of speed: 2152.333, Average of pressure: 0.079
Timestamp: 1683526217, Average of speed: 2029.667, Average of pressure: 0.073
Timestamp: 1683526218, Average of speed: 2027.667, Average of pressure: 0.068
Timestamp: 1683526219, Average of speed: 2192.000, Average of pressure: 0.071
Timestamp: 1683526220, Average of speed: 2194.000, Average of pressure: 0.060
Timestamp: 1683526221, Average of speed: 2123.667, Average of pressure: 0.072
Timestamp: 1683526222, Average of speed: 2093.000, Average of pressure: 0.082
Timestamp: 1683526223, Average of speed: 1958.333, Average of pressure: 0.078
Timestamp: 1683526224, Average of speed: 2116.000, Average of pressure: 0.083
Timestamp: 1683526225, Average of speed: 1962.667, Average of pressure: 0.054
Timestamp: 1683526226, Average of speed: 2123.667, Average of pressure: 0.086
Timestamp: 1683526227, Average of speed: 2123.667, Average of pressure: 0.086
Timestamp: 1683526228, Average of speed: 2235.667, Average of pressure: 0.069
Timestamp: 1683526229, Average of speed: 2177.333, Average of pressure: 0.076
Timestamp: 1683526230, Average of speed: 2194.333, Average of pressure: 0.062
Timestamp: 1683526231, Average of speed: 1994.333, Average of pressure: 0.065
Timestamp: 1683526232, Average of speed: 2130.000, Average of pressure: 0.072
Timestamp: 1683526233, Average of speed: 2051.333, Average of pressure: 0.091
Timestamp: 1683526234, Average of speed: 2114.333, Average of pressure: 0.062
Timestamp: 1683526235, Average of speed: 2133.667, Average of pressure: 0.060
Timestamp: 1683526236, Average of speed: 2246.667, Average of pressure: 0.063
Timestamp: 1683526237, Average of speed: 2049.333, Average of pressure: 0.060
Timestamp: 1683526238, Average of speed: 2167.000, Average of pressure: 0.079
Timestamp: 1683526239, Average of speed: 2081.333, Average of pressure: 0.088
Timestamp: 1683526240, Average of speed: 2226.667, Average of pressure: 0.075
Timestamp: 1683526241, Average of speed: 2057.667, Average of pressure: 0.064
Timestamp: 1683526242, Average of speed: 2165.667, Average of pressure: 0.067
Timestamp: 1683526243, Average of speed: 1929.667, Average of pressure: 0.097
Timestamp: 1683526244, Average of speed: 2022.333, Average of pressure: 0.065
Timestamp: 1683526245, Average of speed: 2010.333, Average of pressure: 0.085
Timestamp: 1683526246, Average of speed: 2262.333, Average of pressure: 0.068
Timestamp: 1683526247, Average of speed: 1984.333, Average of pressure: 0.088
Timestamp: 1683526248, Average of speed: 1937.667, Average of pressure: 0.066
Timestamp: 1683526249, Average of speed: 1955.667, Average of pressure: 0.072
Timestamp: 1683526250, Average of speed: 1980.000, Average of pressure: 0.070
Timestamp: 1683526251, Average of speed: 2114.333, Average of pressure: 0.089
Timestamp: 1683526252, Average of speed: 1999.000, Average of pressure: 0.068
Timestamp: 1683526253, Average of speed: 1995.333, Average of pressure: 0.060
Timestamp: 1683526254, Average of speed: 1974.000, Average of pressure: 0.074
Timestamp: 1683526255, Average of speed: 2087.667, Average of pressure: 0.065
Timestamp: 1683526256, Average of speed: 2055.333, Average of pressure: 0.073
Timestamp: 1683526257, Average of speed: 2143.000, Average of pressure: 0.074
Timestamp: 1683526258, Average of speed: 2095.000, Average of pressure: 0.066
Timestamp: 1683526259, Average of speed: 2136.333, Average of pressure: 0.089
Timestamp: 1683526260, Average of speed: 2073.667, Average of pressure: 0.065
Timestamp: 1683526261, Average of speed: 2151.667, Average of pressure: 0.061
Timestamp: 1683526262, Average of speed: 2122.333, Average of pressure: 0.059
Timestamp: 1683526263, Average of speed: 2225.667, Average of pressure: 0.058
Timestamp: 1683526264, Average of speed: 1881.667, Average of pressure: 0.083
Timestamp: 1683526265, Average of speed: 2296.000, Average of pressure: 0.073
Timestamp: 1683526266, Average of speed: 2176.667, Average of pressure: 0.088
Timestamp: 1683526267, Average of speed: 2115.000, Average of pressure: 0.084
Timestamp: 1683526268, Average of speed: 2104.667, Average of pressure: 0.093
Timestamp: 1683526269, Average of speed: 2153.333, Average of pressure: 0.054
Timestamp: 1683526270, Average of speed: 1983.667, Average of pressure: 0.077
Timestamp: 1683526271, Average of speed: 2102.667, Average of pressure: 0.067
Timestamp: 1683526272, Average of speed: 2283.333, Average of pressure: 0.095
Timestamp: 1683526273, Average of speed: 1958.000, Average of pressure: 0.083
Timestamp: 1683526274, Average of speed: 2120.000, Average of pressure: 0.080
Timestamp: 1683526275, Average of speed: 2233.000, Average of pressure: 0.081
Timestamp: 1683526276, Average of speed: 2100.000, Average of pressure: 0.054
Timestamp: 1683526277, Average of speed: 2203.000, Average of pressure: 0.073
Timestamp: 1683526278, Average of speed: 2198.333, Average of pressure: 0.068
Timestamp: 1683526279, Average of speed: 2149.000, Average of pressure: 0.078
Timestamp: 1683526280, Average of speed: 2239.000, Average of pressure: 0.074
Timestamp: 1683526281, Average of speed: 2105.333, Average of pressure: 0.084
Timestamp: 1683526282, Average of speed: 2183.667, Average of pressure: 0.084
Timestamp: 1683526283, Average of speed: 2183.667, Average of pressure: 0.084
Timestamp: 1683526284, Average of speed: 2130.667, Average of pressure: 0.070
Timestamp: 1683526285, Average of speed: 2135.000, Average of pressure: 0.075
Timestamp: 1683526286, Average of speed: 2034.333, Average of pressure: 0.063
Timestamp: 1683526287, Average of speed: 2012.667, Average of pressure: 0.078
Timestamp: 1683526288, Average of speed: 2260.000, Average of pressure: 0.060
Timestamp: 1683526289, Average of speed: 2104.333, Average of pressure: 0.079
Timestamp: 1683526290, Average of speed: 2060.000, Average of pressure: 0.084
Timestamp: 1683526291, Average of speed: 1936.333, Average of pressure: 0.075
Timestamp: 1683526292, Average of speed: 2049.667, Average of pressure: 0.081
Timestamp: 1683526293, Average of speed: 2239.667, Average of pressure: 0.071
Timestamp: 1683526294, Average of speed: 2003.000, Average of pressure: 0.092
Timestamp: 1683526295, Average of speed: 2078.333, Average of pressure: 0.073
Timestamp: 1683526296, Average of speed: 2082.667, Average of pressure: 0.068
Timestamp: 1683526297, Average of speed: 2014.000, Average of pressure: 0.080
Timestamp: 1683526298, Average of speed: 2294.000, Average of pressure: 0.079
Timestamp: 1683526299, Average of speed: 1874.000, Average of pressure: 0.073
Timestamp: 1683526300, Average of speed: 2127.000, Average of pressure: 0.086
Timestamp: 1683526301, Average of speed: 2206.000, Average of pressure: 0.091
Timestamp: 1683526302, Average of speed: 2105.000, Average of pressure: 0.070
Timestamp: 1683526303, Average of speed: 2103.000, Average of pressure: 0.075
Timestamp: 1683526304, Average of speed: 2176.333, Average of pressure: 0.068
Timestamp: 1683526305, Average of speed: 2110.333, Average of pressure: 0.080
Timestamp: 1683526306, Average of speed: 2186.667, Average of pressure: 0.086
Timestamp: 1683526307, Average of speed: 2228.667, Average of pressure: 0.075
Timestamp: 1683526308, Average of speed: 2132.333, Average of pressure: 0.087
Timestamp: 1683526309, Average of speed: 2195.000, Average of pressure: 0.091
Timestamp: 1683526310, Average of speed: 2205.667, Average of pressure: 0.091
Timestamp: 1683526311, Average of speed: 2022.000, Average of pressure: 0.072
Timestamp: 1683526312, Average of speed: 2080.333, Average of pressure: 0.062
Timestamp: 1683526313, Average of speed: 2064.000, Average of pressure: 0.075
Timestamp: 1683526314, Average of speed: 1889.333, Average of pressure: 0.069
Timestamp: 1683526315, Average of speed: 2157.667, Average of pressure: 0.081
Timestamp: 1683526316, Average of speed: 2011.000, Average of pressure: 0.058
Timestamp: 1683526317, Average of speed: 2273.667, Average of pressure: 0.067
Timestamp: 1683526318, Average of speed: 2205.000, Average of pressure: 0.073
Timestamp: 1683526319, Average of speed: 2065.667, Average of pressure: 0.059
Timestamp: 1683526320, Average of speed: 2037.667, Average of pressure: 0.073
Timestamp: 1683526321, Average of speed: 2093.667, Average of pressure: 0.066
Timestamp: 1683526322, Average of speed: 2094.000, Average of pressure: 0.080
Timestamp: 1683526323, Average of speed: 2087.333, Average of pressure: 0.073
Timestamp: 1683526324, Average of speed: 2085.000, Average of pressure: 0.082
Timestamp: 1683526325, Average of speed: 2266.333, Average of pressure: 0.078
Timestamp: 1683526326, Average of speed: 2252.000, Average of pressure: 0.073
Timestamp: 1683526327, Average of speed: 2085.000, Average of pressure: 0.073
Timestamp: 1683526328, Average of speed: 2048.333, Average of pressure: 0.058
Timestamp: 1683526329, Average of speed: 2060.333, Average of pressure: 0.079
Timestamp: 1683526330, Average of speed: 2097.333, Average of pressure: 0.061
Timestamp: 1683526331, Average of speed: 2130.667, Average of pressure: 0.083
Timestamp: 1683526332, Average of speed: 2130.667, Average of pressure: 0.083
Timestamp: 1683526333, Average of speed: 2228.333, Average of pressure: 0.067
Timestamp: 1683526334, Average of speed: 2188.000, Average of pressure: 0.078
Timestamp: 1683526335, Average of speed: 2188.000, Average of pressure: 0.078
Timestamp: 1683526336, Average of speed: 2112.000, Average of pressure: 0.060
Timestamp: 1683526337, Average of speed: 2011.667, Average of pressure: 0.087
Timestamp: 1683526338, Average of speed: 2036.000, Average of pressure: 0.062
Timestamp: 1683526339, Average of speed: 2286.333, Average of pressure: 0.068
Timestamp: 1683526340, Average of speed: 2076.000, Average of pressure: 0.068
Timestamp: 1683526341, Average of speed: 2054.333, Average of pressure: 0.089
Timestamp: 1683526342, Average of speed: 2008.000, Average of pressure: 0.065
Timestamp: 1683526343, Average of speed: 2246.333, Average of pressure: 0.075
Timestamp: 1683526344, Average of speed: 2076.333, Average of pressure: 0.054
